+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 2 |1404 |       NEW |     READY |
|                 2 |1404 |     READY |   RUNNING |
|                 3 |1403 |       NEW |     READY |
|                 3 |1404 |   RUNNING |     READY |
|                 3 |1403 |     READY |   RUNNING |
|                 5 |1403 |   RUNNING |   WAITING |
|                 5 |1401 |       NEW |     READY |
|                 5 |1402 |       NEW |     READY |
|                 5 |1405 |       NEW |     READY |
|                 5 |1401 |     READY |   RUNNING |
|                 7 |1403 |   WAITING |     READY |
|                 8 |1401 |   RUNNING |   WAITING |
|                 8 |1402 |     READY |   RUNNING |
|                13 |1402 |   RUNNING |   WAITING |
|                14 |1401 |   WAITING |     READY |
|                13 |1403 |     READY |   RUNNING |
|                14 |1403 |   RUNNING |     READY |
|                14 |1401 |     READY |   RUNNING |
|                16 |1402 |   WAITING |     READY |
|                17 |1401 |   RUNNING |   WAITING |
|                17 |1402 |     READY |   RUNNING |
|                22 |1402 |   RUNNING |   WAITING |
|                23 |1401 |   WAITING |     READY |
|                22 |1403 |     READY |   RUNNING |
|                23 |1403 |   RUNNING |   WAITING |
|                23 |1401 |     READY |   RUNNING |
|                25 |1402 |   WAITING |     READY |
|                25 |1403 |   WAITING |     READY |
|                26 |1401 |   RUNNING |   WAITING |
|                26 |1402 |     READY |   RUNNING |
|                31 |1402 |   RUNNING |   WAITING |
|                32 |1401 |   WAITING |     READY |
|                31 |1403 |     READY |   RUNNING |
|                32 |1403 |   RUNNING |     READY |
|                32 |1401 |     READY |   RUNNING |
|                34 |1402 |   WAITING |     READY |
|                35 |1401 |   RUNNING |   WAITING |
|                35 |1402 |     READY |   RUNNING |
|                40 |1402 |   RUNNING |   WAITING |
|                41 |1401 |   WAITING |     READY |
|                40 |1403 |     READY |   RUNNING |
|                41 |1403 |   RUNNING |   WAITING |
|                41 |1401 |     READY |   RUNNING |
|                43 |1402 |   WAITING |     READY |
|                43 |1403 |   WAITING |     READY |
|                44 |1401 |   RUNNING |   WAITING |
|                44 |1402 |     READY |   RUNNING |
|                49 |1402 |   RUNNING |   WAITING |
|                50 |1401 |   WAITING |     READY |
|                49 |1403 |     READY |   RUNNING |
|                50 |1403 |   RUNNING |     READY |
|                50 |1401 |     READY |   RUNNING |
|                52 |1402 |   WAITING |     READY |
|                53 |1401 |   RUNNING |   WAITING |
|                53 |1402 |     READY |   RUNNING |
|                54 |1402 |   RUNNING |TERMINATED |
|                54 |1403 |     READY |   RUNNING |
|                55 |1403 |   RUNNING |   WAITING |
|                55 |1404 |     READY |   RUNNING |
|                57 |1403 |   WAITING |     READY |
|                57 |1404 |   RUNNING |     READY |
|                57 |1403 |     READY |   RUNNING |
|                59 |1401 |   WAITING |     READY |
|                59 |1403 |   RUNNING |   WAITING |
|                59 |1401 |     READY |   RUNNING |
|                61 |1403 |   WAITING |     READY |
|                62 |1401 |   RUNNING |   WAITING |
|                62 |1403 |     READY |   RUNNING |
|                64 |1403 |   RUNNING |   WAITING |
|                64 |1404 |     READY |   RUNNING |
|                66 |1403 |   WAITING |     READY |
|                66 |1404 |   RUNNING |   WAITING |
|                66 |1403 |     READY |   RUNNING |
|                68 |1401 |   WAITING |     READY |
|                68 |1403 |   RUNNING |TERMINATED |
|                68 |1401 |     READY |   RUNNING |
|                70 |1401 |   RUNNING |TERMINATED |
|                71 |1404 |   WAITING |     READY |
|                70 |1405 |     READY |   RUNNING |
|                71 |1405 |   RUNNING |     READY |
|                71 |1404 |     READY |   RUNNING |
|                76 |1404 |   RUNNING |   WAITING |
|                76 |1405 |     READY |   RUNNING |
|                77 |1405 |   RUNNING |   WAITING |
|                79 |1405 |   WAITING |     READY |
|                79 |1405 |     READY |   RUNNING |
|                81 |1404 |   WAITING |     READY |
|                81 |1405 |   RUNNING |   WAITING |
|                81 |1404 |     READY |   RUNNING |
|                83 |1405 |   WAITING |     READY |
|                86 |1404 |   RUNNING |   WAITING |
|                86 |1405 |     READY |   RUNNING |
|                88 |1405 |   RUNNING |   WAITING |
|                90 |1405 |   WAITING |     READY |
|                91 |1404 |   WAITING |     READY |
|                90 |1405 |     READY |   RUNNING |
|                91 |1405 |   RUNNING |     READY |
|                91 |1404 |     READY |   RUNNING |
|                96 |1404 |   RUNNING |   WAITING |
|                96 |1405 |     READY |   RUNNING |
|                97 |1405 |   RUNNING |   WAITING |
|                99 |1405 |   WAITING |     READY |
|                99 |1405 |     READY |   RUNNING |
|               101 |1404 |   WAITING |     READY |
|               101 |1405 |   RUNNING |   WAITING |
|               101 |1404 |     READY |   RUNNING |
|               102 |1404 |   RUNNING |TERMINATED |
|               103 |1405 |   WAITING |     READY |
|               103 |1405 |     READY |   RUNNING |
|               105 |1405 |   RUNNING |   WAITING |
|               107 |1405 |   WAITING |     READY |
|               107 |1405 |     READY |   RUNNING |
|               109 |1405 |   RUNNING |   WAITING |
|               111 |1405 |   WAITING |     READY |
|               111 |1405 |     READY |   RUNNING |
|               113 |1405 |   RUNNING |   WAITING |
|               115 |1405 |   WAITING |     READY |
|               115 |1405 |     READY |   RUNNING |
|               117 |1405 |   RUNNING |   WAITING |
|               119 |1405 |   WAITING |     READY |
|               119 |1405 |     READY |   RUNNING |
|               121 |1405 |   RUNNING |   WAITING |
|               123 |1405 |   WAITING |     READY |
|               123 |1405 |     READY |   RUNNING |
|               125 |1405 |   RUNNING |   WAITING |
|               127 |1405 |   WAITING |     READY |
|               127 |1405 |     READY |   RUNNING |
|               129 |1405 |   RUNNING |   WAITING |
|               131 |1405 |   WAITING |     READY |
|               131 |1405 |     READY |   RUNNING |
|               133 |1405 |   RUNNING |   WAITING |
|               135 |1405 |   WAITING |     READY |
|               135 |1405 |     READY |   RUNNING |
|               137 |1405 |   RUNNING |TERMINATED |
+------------------------------------------------+
