label,filename,num_processes,terminated,sim_end_time,throughput,avg_wait,avg_turn,avg_resp_arrival,avg_io_duration
executiongen_10_io_EP,executiongen_10_io_EP.txt,3,3,64,0.046875,9.666667,58.333333,1.333333,4.941176
executiongen_10_io_EP_RR,executiongen_10_io_EP_RR.txt,3,3,84,0.035714,11.000000,59.666667,1.333333,4.941176
executiongen_10_io_RR,executiongen_10_io_RR.txt,3,3,64,0.046875,9.666667,58.333333,1.333333,4.941176
executiongen_11_io_EP,executiongen_11_io_EP.txt,5,5,129,0.038760,20.000000,74.400000,2.200000,5.228571
executiongen_11_io_EP_RR,executiongen_11_io_EP_RR.txt,5,5,136,0.036765,20.200000,74.600000,1.400000,5.228571
executiongen_11_io_RR,executiongen_11_io_RR.txt,5,5,129,0.038760,20.000000,74.400000,2.200000,5.228571
executiongen_12_io_EP,executiongen_12_io_EP.txt,4,4,110,0.036364,23.000000,70.250000,12.750000,4.076923
executiongen_12_io_EP_RR,executiongen_12_io_EP_RR.txt,4,4,113,0.035398,25.750000,73.000000,6.250000,4.076923
executiongen_12_io_RR,executiongen_12_io_RR.txt,4,4,110,0.036364,23.000000,70.250000,12.750000,4.076923
executiongen_13_io_EP,executiongen_13_io_EP.txt,3,3,75,0.040000,3.666667,39.666667,2.333333,5.142857
executiongen_13_io_EP_RR,executiongen_13_io_EP_RR.txt,3,3,75,0.040000,4.000000,40.000000,2.333333,5.142857
executiongen_13_io_RR,executiongen_13_io_RR.txt,3,3,75,0.040000,3.666667,39.666667,2.333333,5.142857
executiongen_14_io_EP,executiongen_14_io_EP.txt,5,5,138,0.036232,40.000000,85.400000,18.800000,3.285714
executiongen_14_io_EP_RR,executiongen_14_io_EP_RR.txt,5,5,137,0.036496,36.800000,82.200000,13.600000,3.285714
executiongen_14_io_RR,executiongen_14_io_RR.txt,5,5,138,0.036232,40.000000,85.400000,18.800000,3.285714
executiongen_15_mixed_EP,executiongen_15_mixed_EP.txt,5,5,81,0.061728,33.800000,53.600000,25.000000,2.000000
executiongen_15_mixed_EP_RR,executiongen_15_mixed_EP_RR.txt,5,5,85,0.058824,33.600000,53.400000,30.400000,2.000000
executiongen_15_mixed_RR,executiongen_15_mixed_RR.txt,5,5,81,0.061728,33.800000,53.600000,25.000000,2.000000
executiongen_16_mixed_EP,executiongen_16_mixed_EP.txt,6,6,128,0.046875,37.333333,59.500000,27.333333,1.750000
